id,title,description,price,count
b1a7e2c0-1f2a-4c3b-9e2d-8a1b2c3d4e5f,Smartphone X200,High-performance smartphone with OLED display,1200,45
c2b8f3d1-2e3b-5d4c-0f1e-9b2c3d4e5f6a,Laptop Pro 15,Lightweight laptop with 15-inch Retina screen,2500,30
d3c9g4e2-3f4c-6e5d-1g2f-0c3d4e5f6a7b,Wireless Earbuds S,Noise-cancelling wireless earbuds,600,60
e4d0h5f3-4g5d-7f6e-2h3g-1d4e5f6a7b8c,Smartwatch Z,Water-resistant smartwatch with GPS,800,55
f5e1i6g4-5h6e-8g7f-3i4h-2e5f6a7b8c9d,Tablet Ultra 10,10-inch tablet with stylus support,1100,40
a6f2j7h5-6i7f-9h8g-4j5i-3f6a7b8c9d0e,Bluetooth Speaker Max,Portable Bluetooth speaker with deep bass,700,75
b7g3k8i6-7j8g-0i9h-5k6j-4g7b8c9d0e1f,4K Action Camera,Waterproof 4K action camera,950,25
c8h4l9j7-8k9h-1j0i-6l7k-5h8c9d0e1f2g,VR Headset Pro,Immersive virtual reality headset,1800,22
d9i5m0k8-9l0i-2k1j-7m8l-6i9d0e1f2g3h,Wireless Gaming Mouse,Ergonomic wireless gaming mouse,550,80
e0j6n1l9-0m1j-3l2k-8n9m-7j0e1f2g3h4i,Smart Home Hub,Voice-controlled smart home hub,900,65
